@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

dataset,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0.333333,0.333333,0.54494,70,100.111952,5.325203,1074,-1068.674797,2.662602,537,-534.337398,0.862496,0.431248,70.598352,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0.5,0,1,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.001,0,0,0,0,0,20544,16017,8385,50,50,?,?,?,?,?
dataset,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.204136,0.353574,58.457083,89.603756,2.140779,1.367388,0.773391,1.070389,0.683694,0.386696,0.84494,0.42247,62.280427,0.5,1,0,0,0,0,0.5,1,1,0.5,0.666667,0,?,1,0.5,0,0,0.5,1,0.5,0.666667,0,0,1,0.666667,0.5,0.001,0,0,0,0,0,20544,16017,8385,100,50,?,?,?,?,?
dataset,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.330062,0.571683,90.408156,136.813659,2.325203,6.670732,-4.345529,1.162602,3.335366,-2.172765,0.255239,0.127619,19.01731,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,1,1,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,1,1,0.333333,0.5,0.001,0,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,4,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,91.304348,138.169856,2.325203,728.718826,-726.393623,1.162602,364.359413,-363.196811,0.241008,0.120504,17.957015,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.25,0.5,0.333333,0.5,0.001,0.001,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,4,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,2,0,0,100,0,0,1,0,0,0.000006,0.000008,2.325203,0,2.325203,1.162602,0,1.162602,2.325203,1.162602,173.246081,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.001,0,0,0,0,20544,16017,8385,100,33.333333,?,?,?,?,?
dataset,4,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.33334,0.57735,91.306261,138.169839,2.325203,22.943671,-20.618468,1.162602,11.471836,-10.309234,0.321898,0.160949,23.983945,0,0,0,0,1,1,1,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0,0.5,0.333333,0.5,0.001,0,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,4,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.335277,0.576925,91.836665,138.068063,2.325203,10.374201,-8.048998,1.162602,5.1871,-4.024499,0.313486,0.156743,23.35719,0,0,0,0,1,1,1,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0,0.5,0.333333,0.5,0.001,0,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,4,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,91.304348,138.169856,2.325203,30.712429,-28.387226,1.162602,15.356215,-14.193613,0.241008,0.120504,17.957015,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,1,1,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,1,1,0.333333,0.5,0.001,0,0.015625,0,15.625,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,4,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,91.304348,138.169856,2.325203,180.028459,-177.703256,1.162602,90.01423,-88.851628,0.241008,0.120504,17.957015,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.75,0.75,0.333333,0.5,0.001,0.001,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,4,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,91.304348,138.169856,2.325203,320.93076,-318.605557,1.162602,160.46538,-159.302778,0.321928,0.160964,23.986197,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.75,0.75,0.333333,0.5,0,0.001,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
